time_yr,d13C_DIC_mean,d13C_DIC_p5,d13C_DIC_p95,CO2_mean_ppm,CO2_p5_ppm,CO2_p95_ppm,SST_mean_degC,SST_p5_degC,SST_p95_degC,f_CH4_mean_mol_per_yr,f_CH4_p5_mol_per_yr,f_CH4_p95_mol_per_yr,f_volcanic_CO2_mean_mol_per_yr,f_volcCO2_p5_mol_per_yr,f_volcCO2_p95_mol_per_yr,d13C_input_mean,d13C_input_p5,d13C_input_p95,CH4_mean_ppm,CH4_p5_ppm,CH4_p95_ppm
317.612304388783,2.24162301344099,2.00197812600254,2.42871176189841,840.292486085388,657.388282919614,1129.19560368243,28.165830236397,26.7358789289549,30.0611046159604,12737594415399.3,12737594415399.3,12737594415399.3,23042165178418.9,23042165178418.9,23042165178418.9,-27.8,-27.8,-27.8,0.317912046172901,0.303038413099358,0.344188619369501
349.772619444336,2.22406699211594,1.98748527866863,2.40861686149912,848.115276672904,664.799625492528,1137.59546707441,28.2299371800111,26.8100398076286,30.1115912597259,13000740490925.7,12989338608492.5,13012042809161.4,23518193472348.8,23497567595138.1,23538639239044.8,-27.8,-27.8,-27.8,0.321008904646031,0.305641258500679,0.34812504225287
381.932934499889,2.20664197230649,1.9731386858822,2.38855136195862,855.75286248568,672.076000651223,1145.79085283158,28.2907906422735,26.8818786207899,30.1592480288897,13184300709378.2,13184300709378.1,13184300709378.2,23850251845054.9,23850251845054.9,23850251845054.9,-27.8,-27.8,-27.8,0.323375432872271,0.30748951986607,0.350826539559437
414.093249555441,2.18968961391658,1.95909319444994,2.36930053924849,863.219088773345,679.145333472364,1153.79788392516,28.3471915891114,26.9466838394062,30.2046680606642,13355830955479.5,13355830955479.5,13355830955479.5,24160548132946,24160548132946,24160548132946,-27.8,-27.8,-27.8,0.324261438088469,0.308879461714701,0.352227565024325
448.622868522004,2.17156472386585,1.94406906670121,2.34840785021472,871.144376384385,686.780733117665,1162.30726530219,28.4083636082694,27.0195960405302,30.2529641444208,13546301154267.3,13539998120163.3,13552233970746.6,24505106582438.5,24493704464565.1,24515838980788.8,-27.8,-27.8,-27.8,0.326206120132856,0.310508894614367,0.354412353495025
483.152487488567,2.15352595192496,1.92915581065466,2.32793804209652,878.877831824621,693.996556414249,1170.58992697612,28.4679793643626,27.0871117733096,30.2998030544841,13771317843959.9,13771317843959.9,13771317843959.9,24912159245815.1,24912159245815.1,24912159245815.1,-27.8,-27.8,-27.8,0.328402946340051,0.312175115691922,0.357340398152321
517.68210645513,2.13521585521033,1.91405008995053,2.30708487994487,886.584454040962,701.284201967564,1178.82779105199,28.5280497177739,27.1558993507178,30.3471203358789,14004067524956.4,14002033385281,14004596252559.4,25333200803572.7,25329521067755.4,25334157265865.9,-27.8,-27.8,-27.8,0.331249405579725,0.314430520596398,0.360737753479862
570.124106570608,2.10735723857184,1.89097701956003,2.27532440853954,898.209632087384,712.338340803881,1191.31910093291,28.6163435390064,27.2582192412234,30.4180038252312,14335377487591.1,14331185897897.8,14337422004620.6,25932536803395.1,25924954264736.5,25936235311729.5,-27.8,-27.8,-27.8,0.334764380865099,0.317721991209388,0.365334861314854
622.566106686086,2.07948180758121,1.86781085246424,2.24337397879904,909.746037435684,723.295642855251,1203.67819443913,28.7017984218685,27.3574872876216,30.4867150995938,14635773615345.5,14635773615345.5,14635773615345.5,26475950023265.5,26475950023265.5,26475950023265.5,-27.8,-27.8,-27.8,0.33763758786438,0.320557668963652,0.368520523229104
675.008106801564,2.05173557068379,1.84467248368884,2.21171333814948,921.222663860641,734.222350983673,1215.96264761129,28.7858535493807,27.4543098208025,30.5539150717378,14924661426805.8,14923904271764.4,14925233010707.5,26998544828266.7,26997175143304.2,26999578817122.6,-27.8,-27.8,-27.8,0.340568079866493,0.323128927062652,0.372085823637118
771.902693015019,2.00047324593014,1.80202002035961,2.1533009527308,942.406757219679,754.445844327161,1238.61631121564,28.9381423112148,27.6303712980481,30.6757448156415,15432236626581.6,15428988463324.6,15434241931668.9,27916742661569,27910866770733.2,27920370235940.3,-27.8,-27.8,-27.8,0.345913268006245,0.327715610952048,0.378981964246167
868.797279228474,1.94876168543903,1.7589650966893,2.09431100300371,963.582939071929,774.723007731893,1261.21172031888,29.086594470621,27.801808699811,30.7951399256417,15885718636231.1,15879267002584.7,15889850493461.2,28737086521721.3,28725415588945.4,28744561005025.3,-27.8,-27.8,-27.8,0.350898237390686,0.332112743069515,0.385162110684632
943.552889568381,1.90921988939649,1.72601089730247,2.04912260826611,979.975550103632,790.477324503644,1278.62798850225,29.1979538485829,27.9308862438162,30.884451258794,16161885737176.3,16155661493071.8,16170311621353.7,29236669704330.1,29225410116680.4,29251912034134.1,-27.8,-27.8,-27.8,0.353942571002141,0.334824684095926,0.388382611588048
906.175084398428,1.92889535951631,1.74244872131878,2.07163756409606,971.792784626375,782.634878545951,1269.91939011632,29.1426817631066,27.8665418787104,30.8399910242266,16022497660966.7,16018010916579,16026209408455.2,28984518240625.2,28976401770440.7,28991232750126.9,-27.8,-27.8,-27.8,0.352497487064042,0.333525902018516,0.387137466666652
980.930694738335,1.88978730800734,1.70963237448023,2.02739065427877,988.148073476826,798.352317685266,1287.31498944044,29.251966606944,27.9928405242737,30.9281189191247,16334670791507.6,16332559511162.5,16339126822315.4,29549235926210.3,29545416643788.3,29557296835873.9,-27.8,-27.8,-27.8,0.355000703142546,0.335918188531771,0.389936185144973
1023.59293712609,1.86719901263473,1.69089064562459,2.00163896610051,997.517134538388,807.386888631006,1297.24080402386,29.3146092196939,28.0660484732593,30.9779131050201,16540806635637.2,16531592492710,16544933278702,29922133352107.8,29905465071082,29929598403045.2,-27.8,-27.8,-27.8,0.356956135676734,0.337293725147021,0.392311269931181
1066.25517951384,1.84419700171274,1.67181596523045,1.97565084112245,1006.98291416124,816.490999995383,1307.2621798108,29.378481813064,28.1388767475552,31.0295362990485,16719417095774.2,16714710831111.8,16722627598137.7,30245237667636.5,30236724087741.7,30251045430338.9,-27.8,-27.8,-27.8,0.359586215275384,0.339677762023684,0.395973629203287
1108.9174219016,1.82153512523174,1.65283471431744,1.94987947181011,1016.43881590924,825.60834588286,1317.27974779359,29.4396223008499,28.2098279014758,31.0792355130504,16844072227720.2,16843984036731.7,16844424991674.2,30470737400707.3,30470577864200,30471375546736.5,-27.8,-27.8,-27.8,0.361014926311619,0.341218335451932,0.397265326603727
1151.57966428935,1.79909839577194,1.63403015225005,1.92453881467352,1025.87060752367,834.695623644397,1327.26657834482,29.4995158631716,28.2785335838714,31.1275964926233,16977053952586.8,16967025534715.4,16980430135472.3,30711299846814.2,30693158551563.9,30717407323719.6,-27.8,-27.8,-27.8,0.362159954933533,0.342255169444401,0.398861274043722
1204.28222532926,1.77137903433804,1.61091064588026,1.89325899364779,1037.53083428761,845.938773319456,1339.58730630719,29.5732625797531,28.3634300924768,31.1866264042325,17173161400708.5,17173161400708.5,17173161400708.5,31066056017012.1,31066056017012.1,31066056017012.1,-27.8,-27.8,-27.8,0.363816979652725,0.343459409295875,0.40113246531664
1256.98478636917,1.74339003173197,1.58762462261829,1.8614662099267,1049.26174053914,857.292526530493,1351.94764883696,29.6478001844295,28.4497116598985,31.2466835475475,17379297266701.6,17379297266701.6,17379297266701.6,31438953482460.2,31438953482460.2,31438953482460.2,-27.8,-27.8,-27.8,0.366155881734258,0.345402447727173,0.403925740221631
1309.68734740908,1.71523830750422,1.56403832326405,1.8296124772195,1061.0650325334,868.71309740392,1364.39366976977,29.7219624696891,28.5347806591715,31.3067294145451,17583610788410.7,17579476808981.3,17585433132694.7,31808554347574.4,31801076025235.8,31811850947908.4,-27.8,-27.8,-27.8,0.368533486666726,0.347511016419258,0.406961613317628
1385.94933734591,1.67440810531247,1.5298116899034,1.78353357719717,1078.23474353366,885.30666934419,1382.4772556461,29.8280274797779,28.656296065428,31.3928999778048,17830706679440.2,17826003565077.6,17832586644692.4,32255548038088.5,32247040157050.5,32258948874106.4,-27.8,-27.8,-27.8,0.371717673246545,0.350410249946625,0.410830707690816
