folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-16_-44,-16,-44,CHEES_-35_4900.csv,-35,4900,2.399672807,2.322270537,1.935056764
-18_-44,-18,-44,CHEES_-35_4900.csv,-35,4900,2.403877644,2.326727429,1.928755384
-20_-44,-20,-44,CHEES_-35_4900.csv,-35,4900,2.408980989,2.332125319,1.921391751
-22_-44,-22,-44,CHEES_-35_4900.csv,-35,4900,2.415456634,2.338952663,1.912599279
-24_-44,-24,-44,CHEES_-35_4900.csv,-35,4900,2.423817848,2.34775926,1.901464698
-26_-44,-26,-44,CHEES_-35_4900.csv,-35,4900,2.43492606,2.359396138,1.888248064
-28_-44,-28,-44,CHEES_-35_4900.csv,-35,4900,2.450840266,2.376009672,1.870764846
-30_-44,-30,-44,CHEES_-35_4900.csv,-35,4900,2.475150456,2.401230559,1.847997423
-5_-46,-5,-46,CHEES_-35_4800.csv,-35,4800,2.391531903,2.317398821,1.853327062
-6_-46,-6,-46,CHEES_-35_4800.csv,-35,4800,2.392585735,2.318511438,1.851857438
-7_-46,-7,-46,CHEES_-35_4800.csv,-35,4800,2.393752508,2.319752836,1.849991782
-8_-46,-8,-46,CHEES_-35_4800.csv,-35,4800,2.394952198,2.32101803,1.848354195
-10_-46,-10,-46,CHEES_-35_4800.csv,-35,4800,2.397662871,2.323883465,1.844485158
-12_-46,-12,-46,CHEES_-35_4800.csv,-35,4800,2.400690585,2.327081794,1.840219789
-14_-46,-14,-46,CHEES_-35_4800.csv,-35,4800,2.404266308,2.33086019,1.835152951
-16_-46,-16,-46,CHEES_-35_4800.csv,-35,4800,2.408460486,2.335273156,1.829683264
-18_-46,-18,-46,CHEES_-35_4800.csv,-35,4800,2.413487446,2.340554962,1.823312105
-20_-46,-20,-46,CHEES_-35_4800.csv,-35,4800,2.41962801,2.347000845,1.815679128
-22_-46,-22,-46,CHEES_-35_4900.csv,-35,4900,2.427187278,2.352189377,1.874947547
-24_-46,-24,-46,CHEES_-35_4900.csv,-35,4900,2.436474157,2.361924652,1.863737628
-26_-46,-26,-46,CHEES_-35_4900.csv,-35,4900,2.449058252,2.375060424,1.849945719
-28_-46,-28,-46,CHEES_-35_4900.csv,-35,4900,2.466419797,2.393104773,1.83287559
-30_-46,-30,-46,CHEES_-35_4900.csv,-35,4900,2.492542572,2.420106757,1.81089537
-5_-48,-5,-48,CHEES_-35_4800.csv,-35,4800,2.398106113,2.32498846,1.827941339
-6_-48,-6,-48,CHEES_-35_4800.csv,-35,4800,2.399328771,2.326284255,1.82611289
-7_-48,-7,-48,CHEES_-35_4800.csv,-35,4800,2.400581583,2.327606455,1.824378208
-8_-48,-8,-48,CHEES_-35_4800.csv,-35,4800,2.401960079,2.329062956,1.822428072
-10_-48,-10,-48,CHEES_-35_4800.csv,-35,4800,2.404967343,2.332231634,1.81839273
-12_-48,-12,-48,CHEES_-35_4800.csv,-35,4800,2.408428469,2.335879051,1.813735448
-14_-48,-14,-48,CHEES_-35_4800.csv,-35,4800,2.412420967,2.340074685,1.808657042
-16_-48,-16,-48,CHEES_-35_4800.csv,-35,4800,2.417153088,2.345040547,1.802813524
-18_-48,-18,-48,CHEES_-35_4800.csv,-35,4800,2.422736855,2.350893753,1.796077537
-20_-48,-20,-48,CHEES_-35_4800.csv,-35,4800,2.429499646,2.35796394,1.788392653
