time_yr,d13C_DIC_mean,d13C_DIC_p5,d13C_DIC_p95,CO2_mean_ppm,CO2_p5_ppm,CO2_p95_ppm,SST_mean_degC,SST_p5_degC,SST_p95_degC,f_CH4_mean_mol_per_yr,f_CH4_p5_mol_per_yr,f_CH4_p95_mol_per_yr,f_volcanic_CO2_mean_mol_per_yr,f_volcCO2_p5_mol_per_yr,f_volcCO2_p95_mol_per_yr,d13C_input_mean,d13C_input_p5,d13C_input_p95,CH4_mean_ppm,CH4_p5_ppm,CH4_p95_ppm
0.000992586481809964,1.72516028481996,1.24233756422511,2.16538554476847,830.898683693449,598.643223830563,1133.16068985037,29.4045474348163,27.7916695143069,31.0010137978441,903562270980.905,214398680070.952,1658663387471.27,150593711830.151,35733113345.1587,276443897911.879,-34.9999999893648,-35,-34.999999977712,0.24010231524604,0.153098348818929,0.38039144192356
0.017644489419796,1.72515936204242,1.24233605499659,2.16538414760046,830.898725931945,598.643254580562,1133.16072364664,29.4048782349151,27.7920895903517,31.0014707543692,3815122539897.09,3811209714675.93,3857367106284.99,635853756649.516,635201619112.655,642894517714.166,-34.9999999999396,-35,-34.9999999992877,0.24026242641188,0.153302182941455,0.380590682807581
0.034296392357782,1.72515494998022,1.24233250702356,2.16537929733499,830.898897445066,598.643418553738,1133.16097676279,29.4064814577848,27.7941068314381,31.0040862510599,7408020749280.91,7408020749280.91,7408020749280.91,1234670124880.15,1234670124880.15,1234670124880.15,-35,-35,-35,0.241018625166089,0.15408629013801,0.38105763134978
0.050948295295768,1.72514725914685,1.24232203084674,2.16537228618663,830.899244829497,598.643697809928,1133.16138525839,29.4093144453266,27.7969673339794,31.0076385065223,11003750526219.1,10998339669657.8,11004831783885.9,1833958421036.52,1833056611609.63,1834138630647.65,-35,-35,-35,0.242399279580314,0.155394464786937,0.382479211158175
0.100818089901019,1.72511045424223,1.24227180857198,2.16533865973533,830.901596758508,598.645765825191,1133.16430830425,29.4239346004199,27.8129654363266,31.0245140230455,20197256433808.6,18817672054506.7,21600028105006.6,3366209405634.78,3136278675751.12,3600004684167.77,-35,-35,-35,0.249732607651428,0.162235863156399,0.389697640442303
0.133478381094101,1.72508731437584,1.24223144352191,2.1653195946552,830.904118836214,598.647662869786,1133.16784694456,29.4351878660163,27.8241950825163,31.0382990510697,21601150130469.9,21601150130469.9,21601150130469.9,3600191688411.65,3600191688411.64,3600191688411.65,-35,-35,-35,0.255483667261668,0.16782846934511,0.39611603927703
0.166138672287182,1.72507535118569,1.24220291874528,2.16531367075068,830.907248939422,598.650010181743,1133.17246861641,29.4447836216455,27.8345326437295,31.0496101257793,21602272155933.1,21602272155933.1,21602272155933.1,3600378692655.52,3600378692655.52,3600378692655.53,-35,-35,-35,0.260493628633005,0.172493265806395,0.401421067979647
0.198798963480263,1.72506984150535,1.24218169435813,2.16531383942014,830.911026821528,598.652867448352,1133.17804533877,29.4540477810417,27.8441704960283,31.0617326815238,21603394181396.4,21603394181396.4,21603394181396.4,3600565696899.4,3600565696899.4,3600565696899.4,-35,-35,-35,0.265384974059156,0.177263751597497,0.406284176877743
0.231459254673344,1.72506831097231,1.24216412299002,2.16531951623486,830.915353750111,598.656195401695,1133.18454327134,29.4633221152073,27.8539671258997,31.0739547399307,21604516206859.7,21604516206859.7,21604516206859.7,3600752701143.28,3600752701143.27,3600752701143.28,-35,-35,-35,0.270361345816223,0.182157436031229,0.411177119957667
0.336090932416275,1.72509126371974,1.24214305139968,2.16537811371947,830.932848912916,598.670526798726,1133.21154994189,29.4922552433852,27.8843510961153,31.1095002794918,21608110767789.8,21608110767789.8,21608110767789.9,3601351794631.64,3601351794631.64,3601351794631.64,-35,-35,-35,0.286587973812631,0.197676224783885,0.427235080951288
