folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-10_-35,-10,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-12_-35,-12,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-14_-35,-14,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-16_-35,-16,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-18_-35,-18,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-20_-35,-20,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-22_-35,-22,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-24_-35,-24,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-26_-35,-26,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-28_-35,-28,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-30_-35,-30,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-5_-35,-5,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-6_-35,-6,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-7_-35,-7,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-8_-35,-8,-35,CHEES_-35_4900.csv,-35,4900,2.518252204,2.271917703,2.217010514
-10_-36,-10,-36,CHEES_-35_4900.csv,-35,4900,2.517629182,2.27587408,2.175795916
-12_-36,-12,-36,CHEES_-35_4900.csv,-35,4900,2.517908426,2.276245498,2.174966345
-14_-36,-14,-36,CHEES_-35_4900.csv,-35,4900,2.518261107,2.276704473,2.174009708
-16_-36,-16,-36,CHEES_-35_4900.csv,-35,4900,2.518683077,2.277241422,2.17297489
-18_-36,-18,-36,CHEES_-35_4900.csv,-35,4900,2.519174749,2.27789177,2.171546815
-20_-36,-20,-36,CHEES_-35_4900.csv,-35,4900,2.519798542,2.278690819,2.169969513
-22_-36,-22,-36,CHEES_-35_4900.csv,-35,4900,2.52066229,2.279747938,2.168229169
-24_-36,-24,-36,CHEES_-35_4900.csv,-35,4900,2.521779878,2.281205597,2.16516853
-26_-36,-26,-36,CHEES_-35_4900.csv,-35,4900,2.523378023,2.283226953,2.161359629
-28_-36,-28,-36,CHEES_-35_4900.csv,-35,4900,2.525896885,2.286447811,2.155041666
-30_-36,-30,-36,CHEES_-35_4900.csv,-35,4900,2.530364479,2.292066158,2.144684883
-5_-36,-5,-36,CHEES_-35_4800.csv,-35,4800,2.517027087,2.285466438,2.084045839
-6_-36,-6,-36,CHEES_-35_4800.csv,-35,4800,2.517129059,2.285603795,2.083727373
-7_-36,-7,-36,CHEES_-35_4800.csv,-35,4800,2.517224503,2.285722006,2.083522476
-8_-36,-8,-36,CHEES_-35_4800.csv,-35,4800,2.517345974,2.285875458,2.083234646
-10_-37,-10,-37,CHEES_-35_4800.csv,-35,4800,2.516821674,2.289288375,2.047799695
-12_-37,-12,-37,CHEES_-35_4800.csv,-35,4800,2.517417103,2.290034872,2.046440078
