Run_ID,Delta_SST_degC,Delta_pCO2_ppm,Apparent_Sensitivity_degC_per_doubling
1,6.25113449990084,824.838826979937,8.41350836983366
2,6.2161114530831,826.104532019641,8.46106450959982
3,6.04144392303886,832.322698116284,8.78764422553984
4,6.66107271248632,813.689883433953,7.93361836764115
5,7.02849796272432,803.835193937142,7.58617209074654
6,7.21673484597284,798.838820669323,7.43251920744389
