folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-20_-37,-20,-37,CHEES_-27_4200.csv,-27,4200,1.37627804913365,5.04499688964747,3.66568143175954
-16_-34,-16,-34,CHEES_-27_4200.csv,-27,4200,1.37767907364853,5.19811277584157,3.77309409373209
-18_-36,-18,-36,CHEES_-27_4200.csv,-27,4200,1.37924006151029,5.08747791279427,3.68860944136398
-12_-32,-12,-32,CHEES_-26_4200.csv,-26,4200,1.37994192014742,5.68542614637917,4.12004741893181
-30_-46,-30,-46,CHEES_-31_4200.csv,-31,4200,1.3801744119144,4.22794226510298,3.06333911758191
-16_-35,-16,-35,CHEES_-27_4200.csv,-27,4200,1.38177792287426,5.14166473778801,3.72104999846339
-22_-40,-22,-40,CHEES_-28_4200.csv,-28,4200,1.38312568976497,4.68535113042299,3.38750929513799
-14_-34,-14,-34,CHEES_-27_4200.csv,-27,4200,1.38387683432722,5.20200650475524,3.75900974401688
-10_-32,-10,-32,CHEES_-26_4200.csv,-26,4200,1.384118314192,5.69012679203763,4.11101185042793
-24_-42,-24,-42,CHEES_-29_4200.csv,-29,4200,1.38450754173305,4.43951630659479,3.20656708091141
-18_-37,-18,-37,CHEES_-28_4200.csv,-28,4200,1.38555887517692,4.77175321675174,3.44391949143441
-16_-36,-16,-36,CHEES_-27_4200.csv,-27,4200,1.38721458051419,5.08902628218969,3.66852133308992
-26_-44,-26,-44,CHEES_-29_4200.csv,-29,4200,1.38726412327276,4.46378601355408,3.21769008415165
-8_-32,-8,-32,CHEES_-26_4200.csv,-26,4200,1.38744450385503,5.69448631366439,4.10429844065274
-14_-35,-14,-35,CHEES_-27_4200.csv,-27,4200,1.38795311248838,5.14511911267904,3.70698337457138
-12_-34,-12,-34,CHEES_-27_4200.csv,-27,4200,1.38873137037659,5.20588375253934,3.74866145000211
-7_-32,-7,-32,CHEES_-26_4200.csv,-26,4200,1.3888972160634,5.69621156975375,4.10124774092263
-28_-46,-28,-46,CHEES_-30_4200.csv,-30,4200,1.38945789336184,4.31805038230143,3.10772309325168
-6_-32,-6,-32,CHEES_-26_4200.csv,-26,4200,1.39031801646902,5.69933360539023,4.09930212935368
-18_-38,-18,-38,CHEES_-28_4200.csv,-28,4200,1.39051697110727,4.73536452055613,3.40547049690833
-10_-35,-10,-35,CHEES_-26_4200.csv,-26,4200,1.39086634603519,5.65336378543431,4.06463482386344
-5_-32,-5,-32,CHEES_-26_4200.csv,-26,4200,1.391566644102,5.70133420837411,4.09706156190116
-16_-37,-16,-37,CHEES_-28_4200.csv,-28,4200,1.39277592787617,4.7742445897985,3.42786265489143
-10_-34,-10,-34,CHEES_-27_4200.csv,-27,4200,1.39294610126803,5.21020448907147,3.74042074156962
-12_-35,-12,-35,CHEES_-27_4200.csv,-27,4200,1.39301252200118,5.14837607686026,3.69585771523731
-14_-36,-14,-36,CHEES_-27_4200.csv,-27,4200,1.39307817353839,5.09308528093003,3.6559938829518
-20_-40,-20,-40,CHEES_-28_4200.csv,-28,4200,1.39349404885004,4.67531917779333,3.35510523468081
-30_-48,-30,-48,CHEES_-31_4200.csv,-31,4200,1.39439964482325,4.23632350466852,3.03809852533742
-22_-42,-22,-42,CHEES_-29_4200.csv,-29,4200,1.39547736698169,4.42268841861472,3.16930143279976
-8_-34,-8,-34,CHEES_-27_4200.csv,-27,4200,1.39642861523054,5.21331055841731,3.7333169068271
-16_-38,-16,-38,CHEES_-28_4200.csv,-28,4200,1.39749746757558,4.73513653853894,3.38829704411101
-7_-34,-7,-34,CHEES_-27_4200.csv,-27,4200,1.39788713785509,5.2160335766227,3.73136960443469
-12_-36,-12,-36,CHEES_-27_4200.csv,-27,4200,1.39839889731773,5.09571759498498,3.64396568444031
-24_-44,-24,-44,CHEES_-29_4200.csv,-29,4200,1.39848303265396,4.42032867622784,3.16080250744207
-14_-37,-14,-37,CHEES_-28_4200.csv,-28,4200,1.39865440938232,4.7788945597258,3.41678010498411
-6_-34,-6,-34,CHEES_-27_4200.csv,-27,4200,1.39925973626806,5.21553232743382,3.72735110733915
-26_-46,-26,-46,CHEES_-30_4200.csv,-30,4200,1.4005023555539,4.25065486866988,3.03509298061034
-5_-34,-5,-34,CHEES_-27_4200.csv,-27,4200,1.40072326547259,5.21814183542513,3.72531960027419
-8_-35,-8,-35,CHEES_-27_4200.csv,-27,4200,1.40136280117237,5.15809396742381,3.68076986424114
-18_-40,-18,-40,CHEES_-28_4200.csv,-28,4200,1.40174112591895,4.67150326681214,3.33264336790404
-7_-35,-7,-35,CHEES_-27_4200.csv,-27,4200,1.40244127233619,5.1572074203564,3.67730722282973
-10_-36,-10,-36,CHEES_-27_4200.csv,-27,4200,1.40266739844324,5.09900821088852,3.6352225884395
-14_-38,-14,-38,CHEES_-28_4200.csv,-28,4200,1.40335283154278,4.737551461175,3.37588050181704
-12_-37,-12,-37,CHEES_-28_4200.csv,-28,4200,1.40361609330725,4.78042444633048,3.40579198908063
-28_-48,-28,-48,CHEES_-31_4200.csv,-31,4200,1.40368043990782,4.13272783576984,2.94420846673708
-6_-35,-6,-35,CHEES_-27_4200.csv,-27,4200,1.40401227511814,5.15900436391608,3.67447240693248
-20_-42,-20,-42,CHEES_-29_4200.csv,-29,4200,1.40483055259027,4.41517104729454,3.14284953381297
-5_-35,-5,-35,CHEES_-27_4200.csv,-27,4200,1.40555086447641,5.158788152483,3.67029631076691
-8_-36,-8,-36,CHEES_-27_4200.csv,-27,4200,1.40653397374009,5.10224798681833,3.6275327024281
-10_-37,-10,-37,CHEES_-28_4200.csv,-28,4200,1.40775359574178,4.783688078747,3.39810041559606
-7_-36,-7,-36,CHEES_-27_4200.csv,-27,4200,1.40822394711171,5.10200418021551,3.6230062630875
-12_-38,-12,-38,CHEES_-28_4200.csv,-28,4200,1.40828686757147,4.73963081165152,3.36552936819243
-22_-44,-22,-44,CHEES_-29_4200.csv,-29,4200,1.40844089889551,4.39994921946475,3.12398569433418
-16_-40,-16,-40,CHEES_-28_4200.csv,-28,4200,1.40858621885889,4.67006683987862,3.31542846107204
-30_-50,-30,-50,CHEES_-32_4200.csv,-32,4200,1.40901453333244,4.06155283436941,2.88254857440219
-6_-36,-6,-36,CHEES_-27_4200.csv,-27,4200,1.4103901632933,5.10594204549584,3.62023373275189
-24_-46,-24,-46,CHEES_-30_4200.csv,-30,4200,1.41073475819914,4.21995715480805,2.99131862334987
-5_-36,-5,-36,CHEES_-27_4200.csv,-27,4200,1.41122516285289,5.10629042044228,3.61833855776745
-8_-37,-8,-37,CHEES_-28_4200.csv,-28,4200,1.41129515085689,4.78673307422755,3.39173068887909
-18_-42,-18,-42,CHEES_-29_4200.csv,-29,4200,1.41261187437983,4.40996811443003,3.12185405942881
-10_-38,-10,-38,CHEES_-28_4200.csv,-28,4200,1.4126642489883,4.74101867561225,3.35608314502728
-7_-37,-7,-37,CHEES_-28_4200.csv,-28,4200,1.41296101283242,4.78674498659789,3.38774031493084
-6_-37,-6,-37,CHEES_-28_4200.csv,-28,4200,1.41434502369879,4.78882366626502,3.38589494502644
-26_-48,-26,-48,CHEES_-31_4200.csv,-31,4200,1.41460658820738,4.08716977010283,2.88926250179719
-14_-40,-14,-40,CHEES_-28_4200.csv,-28,4200,1.41469528801206,4.6703802704711,3.30133302206298
-5_-37,-5,-37,CHEES_-28_4200.csv,-28,4200,1.41590352235124,4.79084957431078,3.3835988813384
-8_-38,-8,-38,CHEES_-28_4200.csv,-28,4200,1.41632182125802,4.74329995361555,3.34902695307088
-20_-44,-20,-44,CHEES_-29_4200.csv,-29,4200,1.41718444673108,4.38745969206673,3.09589884519759
-28_-50,-28,-50,CHEES_-31_4200.csv,-31,4200,1.41756682872003,4.14565941877593,2.92448957945721
-7_-38,-7,-38,CHEES_-28_4200.csv,-28,4200,1.41799043882086,4.74447983839175,3.34591807426929
-6_-38,-6,-38,CHEES_-28_4200.csv,-28,4200,1.41937688381572,4.74647316008661,3.34405415095013
-16_-42,-16,-42,CHEES_-29_4200.csv,-29,4200,1.41945616142216,4.41100695366592,3.1075330633998
-12_-40,-12,-40,CHEES_-28_4200.csv,-28,4200,1.4195537641608,4.67211518655144,3.29125624157918
-22_-46,-22,-46,CHEES_-30_4200.csv,-30,4200,1.42005490060247,4.20337044665827,2.96000559194926
-16_-46,-16,-46,CHEES_-32_4200.csv,-32,4200,1.42074621955485,3.96145944374015,2.78829490391421
-5_-38,-5,-38,CHEES_-28_4200.csv,-28,4200,1.42076877963484,4.74680645987419,3.34101264605082
-12_-48,-12,-48,CHEES_-31_4200.csv,-31,4200,1.42154565912229,4.37182180178064,3.07540019817581
-30_-52,-30,-52,CHEES_-32_4200.csv,-32,4200,1.42212713798428,4.08175181645465,2.87017363457399
-10_-48,-10,-48,CHEES_-31_4200.csv,-31,4200,1.42308967286529,4.31798263722575,3.03423088478451
-10_-40,-10,-40,CHEES_-28_4200.csv,-28,4200,1.4239466066839,4.67273797624921,3.28154016050582
-24_-48,-24,-48,CHEES_-30_4200.csv,-30,4200,1.42422829611566,4.22042969275607,2.96330981786176
-14_-42,-14,-42,CHEES_-29_4200.csv,-29,4200,1.42452124811354,4.40826537587126,3.09455922943165
-18_-44,-18,-44,CHEES_-29_4200.csv,-29,4200,1.42457469698043,4.38102391887964,3.07532060492566
-26_-50,-26,-50,CHEES_-31_4200.csv,-31,4200,1.42681716729655,4.09719843767217,2.87156513923596
-8_-40,-8,-40,CHEES_-29_4200.csv,-29,4200,1.42756179702479,4.46040030176497,3.12448841868771
-20_-46,-20,-46,CHEES_-30_4200.csv,-30,4200,1.42803410774694,4.19393332511967,2.93685795203911
-7_-40,-7,-40,CHEES_-29_4200.csv,-29,4200,1.42943157353686,4.4623173273642,3.12174252337454
-12_-42,-12,-42,CHEES_-29_4200.csv,-29,4200,1.42967331807599,4.40878030947741,3.08376763679874
