folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-10_-35,-10,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-12_-35,-12,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-14_-35,-14,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-16_-35,-16,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-18_-35,-18,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-20_-35,-20,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-22_-35,-22,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-24_-35,-24,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-26_-35,-26,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-28_-35,-28,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-30_-35,-30,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-5_-35,-5,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-6_-35,-6,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-7_-35,-7,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-8_-35,-8,-35,CHEES_-35_4200.csv,-35,4200,4.149548585,2.50444023,1.645108355
-28_-36,-28,-36,CHEES_-35_4200.csv,-35,4200,4.12089766,2.511508233,1.609389427
-26_-36,-26,-36,CHEES_-35_4200.csv,-35,4200,4.120920764,2.506953411,1.613967354
-24_-36,-24,-36,CHEES_-35_4200.csv,-35,4200,4.120979883,2.503945914,1.617033969
-30_-36,-30,-36,CHEES_-35_4200.csv,-35,4200,4.121103873,2.519362183,1.60174169
-16_-36,-16,-36,CHEES_-35_4200.csv,-35,4200,4.121233571,2.498304215,1.622929356
-14_-36,-14,-36,CHEES_-35_4200.csv,-35,4200,4.121277741,2.497481672,1.62379607
-20_-36,-20,-36,CHEES_-35_4200.csv,-35,4200,4.121320428,2.500520912,1.620799515
-22_-36,-22,-36,CHEES_-35_4200.csv,-35,4200,4.121320818,2.502100869,1.619219949
-18_-36,-18,-36,CHEES_-35_4200.csv,-35,4200,4.121401251,2.499366127,1.622035124
-12_-36,-12,-36,CHEES_-35_4200.csv,-35,4200,4.12150882,2.496908287,1.624600533
-6_-36,-6,-36,CHEES_-35_4200.csv,-35,4200,4.121557274,2.495629036,1.625928239
-10_-36,-10,-36,CHEES_-35_4200.csv,-35,4200,4.121630097,2.496501117,1.62512898
-7_-36,-7,-36,CHEES_-35_4200.csv,-35,4200,4.121635629,2.495805171,1.625830458
-8_-36,-8,-36,CHEES_-35_4200.csv,-35,4200,4.12164136,2.496023209,1.625618151
-5_-36,-5,-36,CHEES_-35_4200.csv,-35,4200,4.121724786,2.495502887,1.626221899
-20_-37,-20,-37,CHEES_-35_4200.csv,-35,4200,4.096291202,2.496945503,1.599345699
-22_-37,-22,-37,CHEES_-35_4200.csv,-35,4200,4.096344902,2.499813076,1.596531826
-7_-37,-7,-37,CHEES_-35_4200.csv,-35,4200,4.096399965,2.487845231,1.608554734
-10_-37,-10,-37,CHEES_-35_4200.csv,-35,4200,4.096435368,2.489195374,1.607239994
-6_-37,-6,-37,CHEES_-35_4200.csv,-35,4200,4.09647217,2.487592151,1.608880019
-18_-37,-18,-37,CHEES_-35_4200.csv,-35,4200,4.096475186,2.494748252,1.601726934
-8_-37,-8,-37,CHEES_-35_4200.csv,-35,4200,4.096488242,2.488296419,1.608191822
-16_-37,-16,-37,CHEES_-35_4200.csv,-35,4200,4.096492171,2.4930052,1.603486971
-14_-37,-14,-37,CHEES_-35_4200.csv,-35,4200,4.096514905,2.491513554,1.605001352
