folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-5_-52,-5,-52,CHEES_-35_4200.csv,-35,4200,3.95752446689151,2.4403632845257,1.51716118236581
-6_-52,-6,-52,CHEES_-35_4200.csv,-35,4200,3.9578330160589,2.44221758512948,1.51561543092942
-7_-52,-7,-52,CHEES_-35_4200.csv,-35,4200,3.95874927177088,2.44443884546081,1.51431042631006
-5_-54,-5,-54,CHEES_-35_4200.csv,-35,4200,3.95882570686803,2.44008562661062,1.51874008025741
-5_-50,-5,-50,CHEES_-35_4200.csv,-35,4200,3.95923515546035,2.44185614552294,1.5173790099374
-8_-52,-8,-52,CHEES_-35_4200.csv,-35,4200,3.95941545364025,2.44657107917955,1.51284437446071
-6_-50,-6,-50,CHEES_-35_4200.csv,-35,4200,3.95946526037777,2.44347436578762,1.51599089459015
-6_-54,-6,-54,CHEES_-35_4200.csv,-35,4200,3.95954640829883,2.44225670393827,1.51728970436056
-7_-50,-7,-50,CHEES_-35_4200.csv,-35,4200,3.96012979990336,2.44540725851073,1.51472254139263
-7_-54,-7,-54,CHEES_-35_4200.csv,-35,4200,3.96021136069152,2.44436952314723,1.51584183754429
-8_-50,-8,-50,CHEES_-35_4200.csv,-35,4200,3.96072626938118,2.44746666353763,1.51325960584355
-10_-52,-10,-52,CHEES_-35_4200.csv,-35,4200,3.96094392850174,2.45127860959837,1.50966531890336
-8_-54,-8,-54,CHEES_-35_4200.csv,-35,4200,3.96129793166295,2.44680094278619,1.51449698887676
-10_-50,-10,-50,CHEES_-35_4200.csv,-35,4200,3.96199524011367,2.45188873429757,1.5101065058161
-12_-52,-12,-52,CHEES_-35_4200.csv,-35,4200,3.96267169623963,2.45662871970401,1.50604297653561
-10_-54,-10,-54,CHEES_-35_4200.csv,-35,4200,3.96280180284571,2.45169933053798,1.51110247230773
-5_-56,-5,-56,CHEES_-35_4200.csv,-35,4200,3.96302612579777,2.44081906893505,1.52220705686272
-12_-50,-12,-50,CHEES_-35_4200.csv,-35,4200,3.96373601291945,2.45696370806056,1.50677230485889
-6_-56,-6,-56,CHEES_-35_4200.csv,-35,4200,3.96376343668552,2.4429310568613,1.52083237982422
-7_-56,-7,-56,CHEES_-35_4200.csv,-35,4200,3.96465233886905,2.44521431977954,1.51943801908951
-5_-48,-5,-48,CHEES_-35_4200.csv,-35,4200,3.96478737756404,2.44427121895637,1.52051615860767
-12_-54,-12,-54,CHEES_-35_4200.csv,-35,4200,3.96508235895276,2.45729297330004,1.50778938565272
-14_-52,-14,-52,CHEES_-35_4200.csv,-35,4200,3.96516990930516,2.46277110121765,1.50239880808751
-6_-48,-6,-48,CHEES_-35_4200.csv,-35,4200,3.96529251943437,2.44600964211155,1.51928287732282
-8_-56,-8,-56,CHEES_-35_4200.csv,-35,4200,3.96556964214024,2.44767229700721,1.51789734513303
-14_-50,-14,-50,CHEES_-35_4200.csv,-35,4200,3.96562687608535,2.46268002284561,1.50294685323973
-7_-48,-7,-48,CHEES_-35_4200.csv,-35,4200,3.96563537569268,2.44768943490098,1.51794594079171
-8_-48,-8,-48,CHEES_-35_4200.csv,-35,4200,3.9660506556608,2.44946637234654,1.51658428331425
-10_-48,-10,-48,CHEES_-35_4200.csv,-35,4200,3.96718334351793,2.4537008479021,1.51348249561583
-10_-56,-10,-56,CHEES_-35_4200.csv,-35,4200,3.96774855082357,2.45289882881138,1.51484972201219
-14_-54,-14,-54,CHEES_-35_4200.csv,-35,4200,3.96788539570233,2.46388750639186,1.50399788931047
-16_-52,-16,-52,CHEES_-35_4200.csv,-35,4200,3.96805876128098,2.46999547332347,1.49806328795751
-16_-50,-16,-50,CHEES_-35_4200.csv,-35,4200,3.96835543204033,2.46943417265005,1.49892125939027
