folder,param1,param2,csv_name,c,d,Best_Delta,P_at_BestDelta,Mu_at_BestDelta
-10_-35,-10,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-12_-35,-12,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-14_-35,-14,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-16_-35,-16,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-18_-35,-18,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-20_-35,-20,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-22_-35,-22,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-24_-35,-24,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-26_-35,-26,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-28_-35,-28,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-30_-35,-30,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-5_-35,-5,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-6_-35,-6,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-7_-35,-7,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-8_-35,-8,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,60.210343372184,2.31772896532473
-5_-36,-5,-36,CHEES_-35_5000.csv,-35,5000,2.2714788490448,59.1372287499877,2.27462999603772
-6_-36,-6,-36,CHEES_-35_5000.csv,-35,5000,2.27158285199923,59.1322717828524,2.27442755723413
-7_-36,-7,-36,CHEES_-35_5000.csv,-35,5000,2.27169816606549,59.1276994025319,2.27424004945866
-8_-36,-8,-36,CHEES_-35_5000.csv,-35,5000,2.2718344321922,59.1194203903524,2.27390343832641
-10_-36,-10,-36,CHEES_-35_5000.csv,-35,5000,2.27210740701192,59.1051955702999,2.27332352653152
-12_-36,-12,-36,CHEES_-35_5000.csv,-35,5000,2.27247940852055,59.0832430711423,2.27243054650487
-14_-36,-14,-36,CHEES_-35_5000.csv,-35,5000,2.27289575778578,59.0620338378328,2.27156552320188
-16_-36,-16,-36,CHEES_-35_5000.csv,-35,5000,2.2734028588248,59.0350352245438,2.27046529462876
-18_-36,-18,-36,CHEES_-35_5000.csv,-35,5000,2.2739767471802,59.003648427782,2.26918686722407
-20_-36,-20,-36,CHEES_-35_5000.csv,-35,5000,2.27475368578859,58.9581738660317,2.26733680720972
-22_-36,-22,-36,CHEES_-35_5000.csv,-35,5000,2.27581058300662,58.9024787332331,2.26506672600906
-5_-37,-5,-37,CHEES_-35_5000.csv,-35,5000,2.2759620320313,58.1561152611302,2.23520612916395
-6_-37,-6,-37,CHEES_-35_5000.csv,-35,5000,2.27615801331247,58.1463822125164,2.23480896796816
-7_-37,-7,-37,CHEES_-35_5000.csv,-35,5000,2.27638125380578,58.1355400491086,2.23436635181211
-8_-37,-8,-37,CHEES_-35_5000.csv,-35,5000,2.27665127898252,58.1197626816808,2.23372445610793
-24_-36,-24,-36,CHEES_-35_5000.csv,-35,5000,2.2771656313141,58.8320822006319,2.26219666277271
-10_-37,-10,-37,CHEES_-35_5000.csv,-35,5000,2.27724486136782,58.0887124525847,2.23245870364868
-12_-37,-12,-37,CHEES_-35_5000.csv,-35,5000,2.27799749650675,58.052264108544,2.23097066448149
-14_-37,-14,-37,CHEES_-35_5000.csv,-35,5000,2.27872156268043,58.011824035811,2.22932409892522
-26_-36,-26,-36,CHEES_-35_5000.csv,-35,5000,2.27915656699577,58.7265939249259,2.2578974943172
-16_-37,-16,-37,CHEES_-35_5000.csv,-35,5000,2.27967080138897,57.9625002548656,2.22731317813907
-5_-38,-5,-38,CHEES_-35_5000.csv,-35,5000,2.28052480826101,57.2607435363204,2.19920874912237
-18_-37,-18,-37,CHEES_-35_5000.csv,-35,5000,2.28086432969217,57.9024663861444,2.22486408225809
-6_-38,-6,-38,CHEES_-35_5000.csv,-35,5000,2.28093658259624,57.2388486993999,2.19831648467215
-7_-38,-7,-38,CHEES_-35_5000.csv,-35,5000,2.28124716582137,57.2262568761512,2.19780038841319
-8_-38,-8,-38,CHEES_-35_5000.csv,-35,5000,2.28158738849917,57.2063354269613,2.19698992153849
-28_-36,-28,-36,CHEES_-35_5000.csv,-35,5000,2.28211776742634,58.5805153745585,2.25193590428529
-10_-38,-10,-38,CHEES_-35_5000.csv,-35,5000,2.28249114542422,57.1609749124332,2.19513935068036
-12_-38,-12,-38,CHEES_-35_5000.csv,-35,5000,2.28341136288314,57.1162667808154,2.19331421671729
-22_-37,-22,-37,CHEES_-35_5000.csv,-35,5000,2.28430331175793,57.7291296057581,2.21779305176001
-14_-38,-14,-38,CHEES_-35_5000.csv,-35,5000,2.28466180225727,57.0499725402238,2.19061242951866
-20_-37,-20,-37,CHEES_-35_4900.csv,-35,4900,2.28548777065761,55.472435898813,2.12747792512622
-16_-38,-16,-38,CHEES_-35_5000.csv,-35,5000,2.28604694146445,56.9843230946754,2.18793104612844
-24_-37,-24,-37,CHEES_-35_5000.csv,-35,5000,2.28685699857447,57.6099891064545,2.2129252843152
-30_-36,-30,-36,CHEES_-35_5000.csv,-35,5000,2.28746813758713,58.3167753609234,2.24117228893345
-18_-38,-18,-38,CHEES_-35_5000.csv,-35,5000,2.2877354871608,56.9016975455173,2.18455848233426
-20_-38,-20,-38,CHEES_-35_5000.csv,-35,5000,2.29003717230649,56.7863045735768,2.17985069605081
-5_-40,-5,-40,CHEES_-35_5000.csv,-35,5000,2.29011684806805,55.6671692524667,2.13508209617595
-26_-37,-26,-37,CHEES_-35_5000.csv,-35,5000,2.29062005351487,57.428827388277,2.20552829339048
-6_-40,-6,-40,CHEES_-35_5000.csv,-35,5000,2.29066479087792,55.6418464946274,2.13404726814998
-7_-40,-7,-40,CHEES_-35_5000.csv,-35,5000,2.29130741020922,55.6112224459712,2.13279660143048
-8_-40,-8,-40,CHEES_-35_5000.csv,-35,5000,2.29191539422182,55.5822417742176,2.13161305519983
-22_-38,-22,-38,CHEES_-35_5000.csv,-35,5000,2.29279647590618,56.6606403914428,2.17471375662146
-10_-40,-10,-40,CHEES_-35_5000.csv,-35,5000,2.29322964244213,55.5183704546016,2.12900563248638
-12_-40,-12,-40,CHEES_-35_5000.csv,-35,5000,2.29482403432391,55.4441284806144,2.12597217785162
-28_-37,-28,-37,CHEES_-35_5000.csv,-35,5000,2.29627513609485,57.1670312904673,2.1948302461749
-24_-38,-24,-38,CHEES_-35_5000.csv,-35,5000,2.29645637987423,56.4900255202783,2.16774276561616
-14_-40,-14,-40,CHEES_-35_5000.csv,-35,5000,2.29663927366838,55.3574079639486,2.12243074761121
-5_-42,-5,-42,CHEES_-35_4900.csv,-35,4900,2.29875660516584,52.266872105113,1.99872461999789
-16_-40,-16,-40,CHEES_-35_5000.csv,-35,5000,2.29888249116055,55.2556763523467,2.11827175444745
-6_-42,-6,-42,CHEES_-35_4900.csv,-35,4900,2.29948282694815,52.2382192242108,1.99754945589051
-7_-42,-7,-42,CHEES_-35_4900.csv,-35,4900,2.30030639057684,52.2017306462709,1.99605697022776
-8_-42,-8,-42,CHEES_-35_4900.csv,-35,4900,2.30115548851925,52.1687531847693,1.99470390785
-18_-40,-18,-40,CHEES_-35_5000.csv,-35,5000,2.30158946898554,55.1382693886869,2.11346719678806
-26_-38,-26,-38,CHEES_-35_5000.csv,-35,5000,2.30170056917014,56.2624821283033,2.15843126236532
-10_-42,-10,-42,CHEES_-35_4900.csv,-35,4900,2.30299856073513,52.0921651577111,1.99156666387904
-20_-40,-20,-40,CHEES_-35_5000.csv,-35,5000,2.3049051137837,54.9918706376474,2.10747862095455
-12_-42,-12,-42,CHEES_-35_4900.csv,-35,4900,2.30525313833917,52.0042899561215,1.98796147271129
-30_-37,-30,-37,CHEES_-35_5000.csv,-35,5000,2.30601377048656,56.7521523383179,2.17784554271326
-5_-44,-5,-44,CHEES_-35_4900.csv,-35,4900,2.30749771430304,51.2459270797256,1.9575371746169
-14_-42,-14,-42,CHEES_-35_4900.csv,-35,4900,2.3078135091927,51.9000258687322,1.98368849438158
-6_-44,-6,-44,CHEES_-35_4900.csv,-35,4900,2.30841660212274,51.2088098173431,1.95601572860882
-22_-40,-22,-40,CHEES_-35_5000.csv,-35,5000,2.30922722703059,54.8250977842004,2.10063482228679
-7_-44,-7,-44,CHEES_-35_4900.csv,-35,4900,2.30939358309179,51.173242340212,1.95455395028481
-28_-38,-28,-38,CHEES_-35_5000.csv,-35,5000,2.30961434081396,55.9403900464652,2.14523102822605
-8_-44,-8,-44,CHEES_-35_4900.csv,-35,4900,2.31043648854627,51.130653944945,1.95280869825595
-16_-42,-16,-42,CHEES_-35_4900.csv,-35,4900,2.31084808563707,51.7847874690223,1.97895757533541
