folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-30_-56,-30,-56,CHEES_-34_4200.csv,-34,4200,38.9280130984559,2.67304100409794,1.45019888377432
-5_-40,-5,-40,CHEES_-29_4200.csv,-29,4200,38.9286803633977,3.11522705675763,1.4325381322656
-24_-52,-24,-52,CHEES_-32_4200.csv,-32,4200,38.9358989471552,2.73086533904359,1.44820134432446
-12_-44,-12,-44,CHEES_-30_4200.csv,-30,4200,38.9377878846345,2.91639472195029,1.44085572650737
-8_-42,-8,-42,CHEES_-30_4200.csv,-30,4200,38.957194396281,2.94150181893055,1.44062770309402
-18_-48,-18,-48,CHEES_-31_4200.csv,-31,4200,38.960345288376,2.79065550670424,1.44678759126687
-7_-42,-7,-42,CHEES_-30_4200.csv,-30,4200,38.9955718036617,2.93890032014725,1.44226685934058
-26_-54,-26,-54,CHEES_-33_4200.csv,-33,4200,38.9964455797611,2.67306245309985,1.45293532506645
-14_-46,-14,-46,CHEES_-31_4200.csv,-31,4200,39.0106680641885,2.78914252946007,1.44886102138914
-6_-42,-6,-42,CHEES_-30_4200.csv,-30,4200,39.0250652527719,2.9367319460213,1.44353333227002
-20_-50,-20,-50,CHEES_-32_4200.csv,-32,4200,39.0269087284223,2.70058253617649,1.45305304768983
-10_-44,-10,-44,CHEES_-30_4200.csv,-30,4200,39.0319586310394,2.9086582465302,1.44493201538037
-5_-42,-5,-42,CHEES_-30_4200.csv,-30,4200,39.0649599575649,2.93347160715592,1.44525953401636
-16_-48,-16,-48,CHEES_-31_4200.csv,-31,4200,39.0759277932922,2.77759139385726,1.4519334559774
-22_-52,-22,-52,CHEES_-32_4200.csv,-32,4200,39.0904273819451,2.70808889968853,1.45529353929026
-28_-56,-28,-56,CHEES_-33_4200.csv,-33,4200,39.096235356562,2.70480542284108,1.45565719734884
-12_-46,-12,-46,CHEES_-31_4200.csv,-31,4200,39.1133964412431,2.78052070778291,1.45331502933841
-8_-44,-8,-44,CHEES_-30_4200.csv,-30,4200,39.1159593944998,2.90181854025819,1.44856563416966
-7_-44,-7,-44,CHEES_-30_4200.csv,-30,4200,39.1546005988889,2.89821142666337,1.45025556688902
-18_-50,-18,-50,CHEES_-32_4200.csv,-32,4200,39.1560188080819,2.68679036978099,1.45876913753203
-8_-46,-8,-46,CHEES_-29_4200.csv,-29,4200,39.1651635988243,3.11045342186787,1.44218840707826
-24_-54,-24,-54,CHEES_-33_4200.csv,-33,4200,39.1660670165782,2.64710128106962,1.46075862942034
-30_-58,-30,-58,CHEES_-34_4200.csv,-34,4200,39.1844066443768,2.67356038510298,1.46043385037095
-14_-48,-14,-48,CHEES_-31_4200.csv,-31,4200,39.1885675381764,2.7668189077316,1.45686994521779
-6_-44,-6,-44,CHEES_-30_4200.csv,-30,4200,39.1891839019937,2.89538783514891,1.45175184267379
-10_-46,-10,-46,CHEES_-31_4200.csv,-31,4200,39.2047378961481,2.77268399484642,1.45728215605207
-5_-44,-5,-44,CHEES_-30_4200.csv,-30,4200,39.2234271720495,2.89248426985368,1.45323771608783
-20_-52,-20,-52,CHEES_-32_4200.csv,-32,4200,39.2391422082639,2.690074442575,1.46196271062756
-26_-56,-26,-56,CHEES_-33_4200.csv,-33,4200,39.2567714815377,2.6697100263269,1.46348245820843
-16_-50,-16,-50,CHEES_-32_4200.csv,-32,4200,39.2767445439793,2.67474973742465,1.46407979226219
-7_-46,-7,-46,CHEES_-31_4200.csv,-31,4200,39.3212756654915,2.76395076480726,1.46229299602737
-22_-54,-22,-54,CHEES_-33_4200.csv,-33,4200,39.3231134687957,2.62668556019758,1.46785711634393
-28_-58,-28,-58,CHEES_-34_4200.csv,-34,4200,39.3452929120507,2.63269553663809,1.4685038950165
-6_-46,-6,-46,CHEES_-31_4200.csv,-31,4200,39.3543705978851,2.76144944016662,1.46371684630874
-18_-52,-18,-52,CHEES_-32_4200.csv,-32,4200,39.3686901362774,2.67513743903227,1.4677421078898
-14_-50,-14,-50,CHEES_-32_4200.csv,-32,4200,39.3913513675969,2.66491298688138,1.46905753522862
-5_-46,-5,-46,CHEES_-31_4200.csv,-31,4200,39.3940633444323,2.75840333422272,1.46542640040839
-24_-56,-24,-56,CHEES_-33_4200.csv,-33,4200,39.409766849575,2.64377417007303,1.47063970718008
-7_-54,-7,-54,CHEES_-34_4200.csv,-34,4200,39.4183011813391,2.55456263898446,1.47454954169419
-10_-52,-10,-52,CHEES_-32_4200.csv,-32,4200,39.4241240475227,2.67807618236519,1.4698419146063
-30_-60,-30,-60,CHEES_-35_4200.csv,-35,4200,39.4462625513483,2.60930639208164,1.47347824637067
-20_-54,-20,-54,CHEES_-33_4200.csv,-33,4200,39.4579726349318,2.61087362223934,1.4738839605077
-8_-48,-8,-48,CHEES_-31_4200.csv,-31,4200,39.4682510701529,2.74230561995993,1.46903781800772
-26_-58,-26,-58,CHEES_-34_4200.csv,-34,4200,39.4912698743885,2.60325216519951,1.47552070836756
-12_-50,-12,-50,CHEES_-32_4200.csv,-32,4200,39.4924419731722,2.65633677330593,1.47344420799465
-16_-52,-16,-52,CHEES_-32_4200.csv,-32,4200,39.4983792214737,2.66328809228951,1.47340364516737
-7_-48,-7,-48,CHEES_-31_4200.csv,-31,4200,39.5056953266736,2.73976692645281,1.47063713600883
-6_-48,-6,-48,CHEES_-31_4200.csv,-31,4200,39.5375718012079,2.73683017376774,1.47202966509761
-22_-56,-22,-56,CHEES_-33_4200.csv,-33,4200,39.5502255904898,2.62340367670161,1.47707287655153
-10_-50,-10,-50,CHEES_-32_4200.csv,-32,4200,39.5718313750149,2.64899824679294,1.47691332512888
-5_-48,-5,-48,CHEES_-31_4200.csv,-31,4200,39.5759548478011,2.73422739986906,1.47366909791728
-18_-54,-18,-54,CHEES_-33_4200.csv,-33,4200,39.5883046683368,2.59731055910432,1.4796397643693
-14_-52,-14,-52,CHEES_-32_4200.csv,-32,4200,39.5917659113728,2.65260835332392,1.47756630232196
-28_-60,-28,-60,CHEES_-35_4200.csv,-35,4200,39.5995816964649,2.57524413590625,1.48097350242234
-24_-58,-24,-58,CHEES_-34_4200.csv,-34,4200,39.6415600870633,2.58052433105226,1.48244143024044
-8_-50,-8,-50,CHEES_-32_4200.csv,-32,4200,39.655255245105,2.64281567093414,1.48049758296684
-20_-56,-20,-56,CHEES_-33_4200.csv,-33,4200,39.682538246388,2.6069716595462,1.48302266347367
-12_-52,-12,-52,CHEES_-32_4200.csv,-32,4200,39.6880940065655,2.64384816204896,1.48176983378066
-7_-50,-7,-50,CHEES_-32_4200.csv,-32,4200,39.6892747443396,2.63976708475159,1.48198030638352
-16_-54,-16,-54,CHEES_-33_4200.csv,-33,4200,39.7042117620776,2.5864556092247,1.48471024611412
-6_-50,-6,-50,CHEES_-32_4200.csv,-32,4200,39.7236179866796,2.63712063934405,1.48345989389342
-26_-60,-26,-60,CHEES_-34_4200.csv,-34,4200,39.7443424196491,2.60487839301461,1.48557856106538
-5_-50,-5,-50,CHEES_-32_4200.csv,-32,4200,39.7579381996694,2.63459042218888,1.48493391109922
-22_-58,-22,-58,CHEES_-34_4200.csv,-34,4200,39.7782015950969,2.56227293307121,1.48863714648103
-14_-54,-14,-54,CHEES_-33_4200.csv,-33,4200,39.7941399512198,2.57692280133089,1.48868868599556
-18_-56,-18,-56,CHEES_-33_4200.csv,-33,4200,39.8015690906939,2.59346699592799,1.48832408379064
-8_-52,-8,-52,CHEES_-32_4200.csv,-32,4200,39.8494148049642,2.62965725104111,1.48879030215693
-24_-60,-24,-60,CHEES_-34_4200.csv,-34,4200,39.8811005956222,2.58197344546338,1.49196508600635
-12_-54,-12,-54,CHEES_-33_4200.csv,-33,4200,39.8854303166213,2.5686715664934,1.49267035000512
-7_-52,-7,-52,CHEES_-32_4200.csv,-32,4200,39.8880073625376,2.62664762271799,1.49045438959279
-20_-58,-20,-58,CHEES_-34_4200.csv,-34,4200,39.9051051339602,2.54760766340193,1.49429989882233
-16_-56,-16,-56,CHEES_-33_4200.csv,-33,4200,39.9078096209054,2.58212795813284,1.4930272665109
-6_-52,-6,-52,CHEES_-32_4200.csv,-32,4200,39.9279968851888,2.62383938990041,1.49216629981153
-5_-52,-5,-52,CHEES_-32_4200.csv,-32,4200,39.9567572618439,2.6210695120204,1.49342750999294
-10_-54,-10,-54,CHEES_-33_4200.csv,-33,4200,39.9739161449786,2.56180663063033,1.49648438057393
-22_-60,-22,-60,CHEES_-34_4200.csv,-34,4200,40.0078567461632,2.56368972267589,1.49776668093949
-14_-56,-14,-56,CHEES_-33_4200.csv,-33,4200,40.0132973273972,2.57207486149038,1.49764889863627
-18_-58,-18,-58,CHEES_-34_4200.csv,-34,4200,40.0173246837277,2.53518295506792,1.49928566914639
-8_-54,-8,-54,CHEES_-33_4200.csv,-33,4200,40.0544838032409,2.55526075559648,1.49996892190578
-12_-56,-12,-56,CHEES_-33_4200.csv,-33,4200,40.0998416432021,2.56377668343056,1.50144259839086
-6_-54,-6,-54,CHEES_-33_4200.csv,-33,4200,40.1230449317195,2.54991133722627,1.50292534377973
-16_-58,-16,-58,CHEES_-34_4200.csv,-34,4200,40.1255699002381,2.52510935154366,1.50401842194778
-10_-56,-10,-56,CHEES_-32_4300.csv,-32,4300,40.1283766337527,2.64170743018678,1.49946676814264
-20_-60,-20,-60,CHEES_-34_4200.csv,-34,4200,40.1302303467611,2.54891796832955,1.50325249513726
-5_-54,-5,-54,CHEES_-33_4200.csv,-33,4200,40.1508069009401,2.54745116369263,1.5041342294899
-14_-58,-14,-58,CHEES_-34_4200.csv,-34,4200,40.2140127048519,2.51586475780482,1.50792591788188
-18_-60,-18,-60,CHEES_-34_4200.csv,-34,4200,40.2439208584017,2.53619499127683,1.50830903468499
-8_-56,-8,-56,CHEES_-33_4200.csv,-33,4200,40.25995290126,2.55010014951039,1.50839411006999
-7_-56,-7,-56,CHEES_-33_4200.csv,-33,4200,40.293779882828,2.54706023233144,1.50986878601986
-12_-58,-12,-58,CHEES_-34_4200.csv,-34,4200,40.3022685183476,2.50800293342486,1.51177062339691
-6_-56,-6,-56,CHEES_-33_4200.csv,-33,4200,40.3302194141308,2.54425588646125,1.51143854110678
-16_-60,-16,-60,CHEES_-34_4200.csv,-34,4200,40.3448767281399,2.52560054623855,1.51277104727605
-5_-56,-5,-56,CHEES_-33_4200.csv,-33,4200,40.3595127261904,2.54153961211586,1.51271892456298
-10_-58,-10,-58,CHEES_-34_4200.csv,-34,4200,40.3896824375247,2.5010875228458,1.51554379658716
-14_-60,-14,-60,CHEES_-34_4200.csv,-34,4200,40.4274877484639,2.5163545501936,1.51644532793081
-8_-58,-8,-58,CHEES_-34_4200.csv,-34,4200,40.4585547026996,2.49514243467141,1.51853649072113
-7_-58,-7,-58,CHEES_-34_4200.csv,-34,4200,40.4928681418286,2.49223667716863,1.5200252585864
-5_-60,-5,-60,CHEES_-35_4300.csv,-35,4300,40.506365511898,2.46270037071369,1.52174660564737
-12_-60,-12,-60,CHEES_-34_4200.csv,-34,4200,40.5218622924544,2.50832749238632,1.52054139200272
-6_-58,-6,-58,CHEES_-34_4200.csv,-34,4200,40.5327654465095,2.48968323046395,1.52172328864182
-5_-58,-5,-58,CHEES_-34_4200.csv,-34,4200,40.5562101012883,2.48719286460916,1.52276068946716
-10_-60,-10,-60,CHEES_-34_4200.csv,-34,4200,40.5974971543726,2.50121622107582,1.52385123733187
-8_-60,-8,-60,CHEES_-34_4200.csv,-34,4200,40.6677984307481,2.4949309132819,1.52691470069865
-7_-60,-7,-60,CHEES_-34_4200.csv,-34,4200,40.7071881159567,2.49204192682572,1.52860584756524
-6_-60,-6,-60,CHEES_-34_4200.csv,-34,4200,40.7394669283765,2.48931639770252,1.53000602122696
