folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
0.8_-22_-48,-22,-48,CHEES_-35_6000.csv,-35,6000,2.640555432,2.50958481,1.178735594
0.8_-28_-48,-28,-48,CHEES_-35_6000.csv,-35,6000,2.642130652,2.51216947,1.169650641
0.8_-8_-48,-8,-48,CHEES_-35_6000.csv,-35,6000,2.646817858,2.513456496,1.200252259
0.8_-18_-48,-18,-48,CHEES_-35_6000.csv,-35,6000,2.648645807,2.517219099,1.182840369
0.8_-6_-48,-6,-48,CHEES_-35_6000.csv,-35,6000,2.648685577,2.51515736,1.201753957
0.8_-24_-48,-24,-48,CHEES_-35_6000.csv,-35,6000,2.648714393,2.518542248,1.171549307
0.8_-14_-48,-14,-48,CHEES_-35_6000.csv,-35,6000,2.650634015,2.518602347,1.18828501
0.8_-5_-48,-5,-48,CHEES_-35_6000.csv,-35,6000,2.654369314,2.521019124,1.200151708
0.8_-7_-48,-7,-48,CHEES_-35_6000.csv,-35,6000,2.663582287,2.531071909,1.192593403
0.8_-10_-48,-10,-48,CHEES_-35_5900.csv,-35,5900,2.678833429,2.54785718,1.178786241
0.8_-12_-48,-12,-48,CHEES_-35_6000.csv,-35,6000,2.689548469,2.558877976,1.176034435
0.8_-28_-50,-28,-50,CHEES_-35_6000.csv,-35,6000,2.596622537,2.46476788,1.186691915
0.8_-20_-50,-20,-50,CHEES_-35_6000.csv,-35,6000,2.599389663,2.466749099,1.193765075
0.8_-30_-50,-30,-50,CHEES_-35_6000.csv,-35,6000,2.601491391,2.469263349,1.190052376
0.8_-26_-50,-26,-50,CHEES_-35_6000.csv,-35,6000,2.602421932,2.470854599,1.184105999
0.8_-22_-50,-22,-50,CHEES_-35_6000.csv,-35,6000,2.606332963,2.474420088,1.187215877
0.8_-12_-50,-12,-50,CHEES_-35_6000.csv,-35,6000,2.608747806,2.475105492,1.20278083
0.8_-16_-50,-16,-50,CHEES_-35_6000.csv,-35,6000,2.608961429,2.476065126,1.196066728
0.8_-18_-50,-18,-50,CHEES_-35_6000.csv,-35,6000,2.612262492,2.479903349,1.191232291
0.8_-8_-50,-8,-50,CHEES_-35_6000.csv,-35,6000,2.614044321,2.480039899,1.206039794
0.8_-7_-50,-7,-50,CHEES_-35_6000.csv,-35,6000,2.619508318,2.485703525,1.204243137
0.8_-14_-50,-14,-50,CHEES_-35_6000.csv,-35,6000,2.623033236,2.490567332,1.192193138
0.8_-10_-50,-10,-50,CHEES_-35_6000.csv,-35,6000,2.624803508,2.491737518,1.197593909
0.8_-5_-50,-5,-50,CHEES_-35_6000.csv,-35,6000,2.627019777,2.493355672,1.202976951
0.8_-6_-50,-6,-50,CHEES_-35_6000.csv,-35,6000,2.638626568,2.505647134,1.196814908
0.8_-24_-50,-24,-50,CHEES_-35_6000.csv,-35,6000,2.647038858,2.516985037,1.170484388
0.8_-24_-52,-24,-52,CHEES_-35_6000.csv,-35,6000,2.569358374,2.436081182,1.199494725
0.8_-28_-52,-28,-52,CHEES_-35_6000.csv,-35,6000,2.57087181,2.437624328,1.199227338
0.8_-20_-52,-20,-52,CHEES_-35_6000.csv,-35,6000,2.571409897,2.43773447,1.203078846
0.8_-10_-52,-10,-52,CHEES_-35_6000.csv,-35,6000,2.581132952,2.446304539,1.213455721
0.8_-30_-52,-30,-52,CHEES_-35_6000.csv,-35,6000,2.581165585,2.447632934,1.201793865
0.8_-22_-52,-22,-52,CHEES_-35_6000.csv,-35,6000,2.583139828,2.450350333,1.195105454
0.8_-7_-52,-7,-52,CHEES_-35_6000.csv,-35,6000,2.583906833,2.448796872,1.215989651
0.8_-6_-52,-6,-52,CHEES_-35_6000.csv,-35,6000,2.585324564,2.450176586,1.216331793
0.8_-16_-52,-16,-52,CHEES_-35_6000.csv,-35,6000,2.587297959,2.453790117,1.201570578
0.8_-12_-52,-12,-52,CHEES_-35_6000.csv,-35,6000,2.588619963,2.454547966,1.206647972
0.8_-5_-52,-5,-52,CHEES_-35_6000.csv,-35,6000,2.592092752,2.457201195,1.214024009
0.8_-26_-52,-26,-52,CHEES_-35_6000.csv,-35,6000,2.593407431,2.461300938,1.188958438
