folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.6_-28_-54,-28,-54,CHEES_-35_5400.csv,-35,5400,5.33436691792515,5.23282079815908,0.101546119766071
0.6_-26_-60,-26,-60,CHEES_-35_5400.csv,-35,5400,5.33824424450289,5.2365051756436,0.101739068859289
0.6_-30_-50,-30,-50,CHEES_-35_5400.csv,-35,5400,5.35037383390112,5.2396422213433,0.110731612557816
0.6_-28_-56,-28,-56,CHEES_-35_5400.csv,-35,5400,5.35074569974169,5.21348541283485,0.137260286906846
0.6_-28_-58,-28,-58,CHEES_-35_5400.csv,-35,5400,5.36583932162899,5.24381300332031,0.122026318308674
0.6_-30_-52,-30,-52,CHEES_-35_5400.csv,-35,5400,5.37024688390782,5.23407756101378,0.136169322894038
0.6_-28_-60,-28,-60,CHEES_-35_5400.csv,-35,5400,5.38125569273081,5.24759391975652,0.133661772974291
0.6_-30_-54,-30,-54,CHEES_-35_5400.csv,-35,5400,5.39159308704029,5.23302713546918,0.158565951571106
0.6_-30_-56,-30,-56,CHEES_-35_5500.csv,-35,5500,5.41015430021562,5.24570648345634,0.164447816759286
0.6_-30_-58,-30,-58,CHEES_-35_5500.csv,-35,5500,5.43236767892497,5.26208271774975,0.170284961175217
0.6_-30_-60,-30,-60,CHEES_-35_5400.csv,-35,5400,5.45139667054741,5.2500259108371,0.201370759710312
