folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.2_-7_-46,-7,-46,CHEES_-23_5400.csv,-23,5400,5.27051820566726,5.20614274624968,0.064375459417583
0.2_-10_-54,-10,-54,CHEES_-28_5400.csv,-28,5400,5.27053112922148,5.20614677441104,0.0643843548104385
0.2_-10_-58,-10,-58,CHEES_-30_5400.csv,-30,5400,5.27057232479969,5.20615501456164,0.0644173102380474
0.2_-5_-46,-5,-46,CHEES_-22_5300.csv,-22,5300,5.27057793062337,5.20619154375745,0.0643863868659233
0.2_-16_-40,-16,-40,CHEES_-26_5300.csv,-26,5300,5.27058349327171,5.20620775079787,0.0643757424738367
0.2_-12_-48,-12,-48,CHEES_-27_5400.csv,-27,5400,5.2705843745241,5.20618554476661,0.0643988297574867
0.2_-5_-56,-5,-56,CHEES_-26_5300.csv,-26,5300,5.27058481747066,5.20617242475673,0.0644123927139295
0.2_-20_-56,-20,-56,CHEES_-35_5300.csv,-35,5300,5.27058759757733,5.2062123351172,0.0643752624601232
0.2_-12_-60,-12,-60,CHEES_-32_5300.csv,-32,5300,5.27058812498924,5.20621262615938,0.0643754988298581
0.2_-14_-60,-14,-60,CHEES_-33_5300.csv,-33,5300,5.27059119337814,5.20618539813042,0.064405795247713
0.2_-18_-42,-18,-42,CHEES_-28_5300.csv,-28,5300,5.27059361505219,5.20621787541525,0.0643757396369398
0.2_-10_-46,-10,-46,CHEES_-25_5300.csv,-25,5300,5.27059369823849,5.20621598246191,0.0643777157765803
0.2_-14_-50,-14,-50,CHEES_-29_5300.csv,-29,5300,5.27059422142804,5.20621761841968,0.064376603008356
0.2_-26_-38,-26,-38,CHEES_-31_5300.csv,-31,5300,5.27059437117348,5.20621914110064,0.0643752300728435
0.2_-22_-46,-22,-46,CHEES_-32_5300.csv,-32,5300,5.27059484407941,5.20621906315249,0.0643757809269213
0.2_-7_-58,-7,-58,CHEES_-28_5300.csv,-28,5300,5.27059515306282,5.20617762162232,0.0644175314405021
0.2_-20_-44,-20,-44,CHEES_-30_5300.csv,-30,5300,5.27059596453843,5.20621930348501,0.0643766610534207
0.2_-24_-48,-24,-48,CHEES_-34_5300.csv,-34,5300,5.27059646383198,5.20621924559297,0.0643772182390064
0.2_-10_-44,-10,-44,CHEES_-24_5300.csv,-24,5300,5.27059762894322,5.20617714623517,0.0644204827080432
0.2_-22_-34,-22,-34,CHEES_-27_5300.csv,-27,5300,5.27059840772345,5.20622220989502,0.0643761978284282
0.2_-5_-48,-5,-48,CHEES_-23_5300.csv,-23,5300,5.27059999714658,5.20622125316192,0.0643787439846653
0.2_-20_-32,-20,-32,CHEES_-25_5300.csv,-25,5300,5.27060055035413,5.20622351618925,0.0643770341648841
