folder,param1,param2,best_mu_score,csv_name,c,d,corr_p
-14_-36,-14,-36,0.0179267851984064,CHEES_-28_4200.csv,-28,4200,0.189527879889649
-12_-38,-12,-38,0.0179463292379888,CHEES_-28_4200.csv,-28,4200,0.176456753391115
-8_-42,-8,-42,0.0180077176171436,CHEES_-29_4200.csv,-29,4200,0.135737082447245
-5_-44,-5,-44,0.0180900860780912,CHEES_-30_4200.csv,-30,4200,0.111855010119887
-12_-37,-12,-37,0.0181820960343953,CHEES_-28_4200.csv,-28,4200,0.182315743659252
-7_-42,-7,-42,0.0182127508580413,CHEES_-30_4200.csv,-30,4200,0.119154445634939
-14_-35,-14,-35,0.0183095305967019,CHEES_-27_4200.csv,-27,4200,0.222053513859214
-8_-40,-8,-40,0.0183524149593471,CHEES_-29_4200.csv,-29,4200,0.144334634401646
-6_-42,-6,-42,0.0184028239703183,CHEES_-30_4200.csv,-30,4200,0.118920442673966
-10_-38,-10,-38,0.0184595558745013,CHEES_-28_4200.csv,-28,4200,0.175256285750339
-12_-36,-12,-36,0.0185162906476924,CHEES_-28_4200.csv,-28,4200,0.188226193401499
-7_-40,-7,-40,0.0185629646683774,CHEES_-29_4200.csv,-29,4200,0.143974073735549
-14_-34,-14,-34,0.0185744816761874,CHEES_-27_4200.csv,-27,4200,0.22933865564174
-5_-42,-5,-42,0.0185787026932994,CHEES_-30_4200.csv,-30,4200,0.118477889340566
-10_-37,-10,-37,0.0186853988219213,CHEES_-28_4200.csv,-28,4200,0.181354392589877
-6_-40,-6,-40,0.0187416443025644,CHEES_-29_4200.csv,-29,4200,0.143458695248402
-16_-32,-16,-32,0.018821347460628,CHEES_-26_4200.csv,-26,4200,0.279782634244196
-5_-40,-5,-40,0.0189183872675501,CHEES_-29_4200.csv,-29,4200,0.143136616016492
-8_-38,-8,-38,0.0189212512838297,CHEES_-28_4200.csv,-28,4200,0.174391585503883
-12_-35,-12,-35,0.0189276325509895,CHEES_-27_4200.csv,-27,4200,0.220665651706373
-10_-36,-10,-36,0.0190106508253116,CHEES_-28_4200.csv,-28,4200,0.187239286763442
-7_-38,-7,-38,0.0191223365532452,CHEES_-28_4200.csv,-28,4200,0.174001069429674
-8_-37,-8,-37,0.0191312806833519,CHEES_-28_4200.csv,-28,4200,0.18057374982956
-12_-34,-12,-34,0.0191752589129793,CHEES_-27_4200.csv,-27,4200,0.228055767377091
-6_-38,-6,-38,0.0193086544586872,CHEES_-28_4200.csv,-28,4200,0.173786266793236
-7_-37,-7,-37,0.0193231578558773,CHEES_-28_4200.csv,-28,4200,0.180063927433072
-10_-35,-10,-35,0.0193662314797025,CHEES_-26_4200.csv,-26,4200,0.267481844512677
-8_-36,-8,-36,0.0194273713085925,CHEES_-28_4200.csv,-28,4200,0.186461677454724
-5_-38,-5,-38,0.0194906731306989,CHEES_-28_4200.csv,-28,4200,0.173419166449668
-6_-37,-6,-37,0.0195073110127928,CHEES_-28_4200.csv,-28,4200,0.179849523359112
-14_-32,-14,-32,0.019569661533436,CHEES_-27_4200.csv,-27,4200,0.246203072714346
-7_-36,-7,-36,0.0196193851952223,CHEES_-28_4200.csv,-28,4200,0.186165557484759
-10_-34,-10,-34,0.0196735449770139,CHEES_-27_4200.csv,-27,4200,0.227010964805193
-5_-37,-5,-37,0.0196869725628308,CHEES_-28_4200.csv,-28,4200,0.1795523552152
-6_-36,-6,-36,0.0197909050692718,CHEES_-28_4200.csv,-28,4200,0.185792907356934
-8_-35,-8,-35,0.0198468001761892,CHEES_-28_4200.csv,-28,4200,0.19264290342722
-5_-36,-5,-36,0.0199591652935296,CHEES_-28_4200.csv,-28,4200,0.18557958565186
-7_-35,-7,-35,0.020027047239812,CHEES_-28_4200.csv,-28,4200,0.192422895229518
-12_-32,-12,-32,0.0200798340548069,CHEES_-27_4200.csv,-27,4200,0.245165276382815
-8_-34,-8,-34,0.0200988978478786,CHEES_-27_4200.csv,-27,4200,0.226124839445453
-6_-35,-6,-35,0.020190776499397,CHEES_-28_4200.csv,-28,4200,0.192016606754449
-7_-34,-7,-34,0.0202895422345197,CHEES_-27_4200.csv,-27,4200,0.225895051382379
-5_-35,-5,-35,0.0203504301955578,CHEES_-28_4200.csv,-28,4200,0.191788553171133
-6_-34,-6,-34,0.0204610467032916,CHEES_-27_4200.csv,-27,4200,0.22539743292561
-10_-32,-10,-32,0.0205143094898382,CHEES_-27_4200.csv,-27,4200,0.244460778712329
-5_-34,-5,-34,0.020622554139689,CHEES_-27_4200.csv,-27,4200,0.225126547145998
-8_-32,-8,-32,0.0208727522335894,CHEES_-27_4200.csv,-27,4200,0.243779984455143
-7_-32,-7,-32,0.0210798213730156,CHEES_-27_4200.csv,-27,4200,0.243542505035961
-6_-32,-6,-32,0.0211766656266791,CHEES_-27_4200.csv,-27,4200,0.243255790646623
-5_-32,-5,-32,0.0213110164025321,CHEES_-27_4200.csv,-27,4200,0.243027133962408
