folder,param1,param2,best_delta_score,csv_name,c,d,corr_p
-28_-34,-28,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-30_-34,-30,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-5_-34,-5,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-6_-34,-6,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-7_-34,-7,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-8_-34,-8,-34,0.0432649150206362,CHEES_-34_5100.csv,-34,5100,0.0470601728175242
-30_-40,-30,-40,0.0434510718847892,CHEES_-35_5000.csv,-35,5000,0.0459763692880465
-26_-50,-26,-50,0.0435173907028586,CHEES_-35_4900.csv,-35,4900,0.0450161095011563
-28_-44,-28,-44,0.0435667505401885,CHEES_-35_5000.csv,-35,5000,0.0456858497337663
-26_-52,-26,-52,0.0439896816386041,CHEES_-35_4900.csv,-35,4900,0.0453864059638304
-26_-54,-26,-54,0.0444533995208226,CHEES_-35_4900.csv,-35,4900,0.0457648686168724
-28_-46,-28,-46,0.0445888653698871,CHEES_-35_5000.csv,-35,5000,0.046529055063097
-26_-56,-26,-56,0.0448396066433575,CHEES_-35_4800.csv,-35,4800,0.0459003828891102
-26_-58,-26,-58,0.0451219088603107,CHEES_-35_4800.csv,-35,4800,0.046129932407211
-30_-42,-30,-42,0.0452720362572063,CHEES_-35_5000.csv,-35,5000,0.047529591880598
-26_-60,-26,-60,0.0454155087101175,CHEES_-35_4800.csv,-35,4800,0.0463804441603967
-28_-48,-28,-48,0.0454284298683658,CHEES_-35_4900.csv,-35,4900,0.0469915356542414
-28_-50,-28,-50,0.0460706553842472,CHEES_-35_4900.csv,-35,4900,0.0475145409386367
-28_-52,-28,-52,0.0466633845448937,CHEES_-35_4900.csv,-35,4900,0.048008375489647
-30_-44,-30,-44,0.0466889937963995,CHEES_-35_5000.csv,-35,5000,0.0487271329937648
-28_-54,-28,-54,0.0471232994501319,CHEES_-35_4900.csv,-35,4900,0.0483835486611019
-28_-56,-28,-56,0.0476394266462173,CHEES_-35_4900.csv,-35,4900,0.0488303785821221
-30_-46,-30,-46,0.047927768936221,CHEES_-35_5000.csv,-35,5000,0.0497898383545615
-28_-58,-28,-58,0.0479828455608481,CHEES_-35_4800.csv,-35,4800,0.0489479686491321
-28_-60,-28,-60,0.0482815108813089,CHEES_-35_4800.csv,-35,4800,0.0492054770218309
-30_-48,-30,-48,0.0490005317720296,CHEES_-35_5000.csv,-35,5000,0.0507150268355516
-30_-50,-30,-50,0.0497608784703435,CHEES_-35_4900.csv,-35,4900,0.0511381334493425
-30_-52,-30,-52,0.0503862135702236,CHEES_-35_4900.csv,-35,4900,0.0516662505771323
-30_-54,-30,-54,0.050933014597169,CHEES_-35_4900.csv,-35,4900,0.0521341426022842
-30_-56,-30,-56,0.0514194909300287,CHEES_-35_4900.csv,-35,4900,0.0525533970860536
-30_-58,-30,-58,0.0518955910424961,CHEES_-35_4800.csv,-35,4800,0.0528118160146375
-30_-60,-30,-60,0.0521571673694384,CHEES_-35_4800.csv,-35,4800,0.053034517612392
-10_-32,-10,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-12_-32,-12,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-14_-32,-14,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-16_-32,-16,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-18_-32,-18,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-20_-32,-20,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-22_-32,-22,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-24_-32,-24,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-26_-32,-26,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-28_-32,-28,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-30_-32,-30,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-5_-32,-5,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-6_-32,-6,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-7_-32,-7,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
-8_-32,-8,-32,0.060454908386078,CHEES_-32_5400.csv,-32,5400,0.0650169387807773
