folder,param1,param2,best_p,csv_name,c,d,avg_delta_term,avg_mu_raw_term
-20_-46,-20,-46,0.0403264666172221,CHEES_-35_4900.csv,-35,4900,0.0384496092132116,0.067566866544379
-22_-37,-22,-37,0.0403290561852281,CHEES_-35_5000.csv,-35,5000,0.0371220650702151,0.115451680140468
-20_-37,-20,-37,0.0403353169357169,CHEES_-35_4900.csv,-35,4900,0.0374372768326281,0.104329443711197
-24_-36,-24,-36,0.0404020486315955,CHEES_-35_5000.csv,-35,5000,0.0370189587631113,0.121791235265431
-20_-48,-20,-48,0.040465628194093,CHEES_-35_4900.csv,-35,4900,0.0387299066530669,0.0624859754769408
-22_-38,-22,-38,0.0404730518812678,CHEES_-35_5000.csv,-35,5000,0.0374364002720605,0.109319457931464
-20_-50,-20,-50,0.0406269795459671,CHEES_-35_4800.csv,-35,4800,0.0392230266348803,0.0505423047991224
-26_-36,-26,-36,0.0406372614648094,CHEES_-35_5000.csv,-35,5000,0.0372690648445396,0.121255078329712
-20_-52,-20,-52,0.0406808762346767,CHEES_-35_4800.csv,-35,4800,0.0393705332018517,0.0471723491817019
-24_-37,-24,-37,0.0406840510543854,CHEES_-35_5000.csv,-35,5000,0.0374925379640619,0.114894471251647
-22_-40,-22,-40,0.0406971308790306,CHEES_-35_4900.csv,-35,4900,0.0382542274817153,0.0879445223033532
-20_-54,-20,-54,0.0407300473562906,CHEES_-35_4800.csv,-35,4800,0.0394991377797823,0.0443127447542999
-20_-56,-20,-56,0.0408049949899233,CHEES_-35_4800.csv,-35,4800,0.0396413391977768,0.0418916085172727
-22_-42,-22,-42,0.0408403723415017,CHEES_-35_4900.csv,-35,4900,0.0386329444343929,0.0794674046559157
-20_-58,-20,-58,0.0408847366943285,CHEES_-35_4800.csv,-35,4800,0.0397779895098265,0.0398428986420711
-24_-38,-24,-38,0.0408994408594525,CHEES_-35_5000.csv,-35,5000,0.0378871804095285,0.108441376197263
-22_-44,-22,-44,0.0409856499236743,CHEES_-35_4900.csv,-35,4900,0.03897659926388,0.0723258237525956
-28_-36,-28,-36,0.0409993949667286,CHEES_-35_5000.csv,-35,5000,0.0376515555168883,0.12052222019425
-20_-60,-20,-60,0.0410237850645358,CHEES_-35_4800.csv,-35,4800,0.0399633990406901,0.0381738968584473
-26_-37,-26,-37,0.041121074283516,CHEES_-35_5000.csv,-35,5000,0.0379554526122198,0.113962380166664
